Date,Chicken_ID,Farm_Name,Lat,Lon,Breed,Age_Days,Weight_Kg,Eggs_Laid,Barn_Temp_C
2026-05-24,KIP-0000,Geel Pluimvee,51.16,4.99,Rhode Island Red,139,2.33,3,22.0
2026-05-24,KIP-0001,Geel Pluimvee,51.16,4.99,Leghorn,174,2.55,0,22.0
2026-05-24,KIP-0002,Hasselt Kip,50.93,5.33,Rhode Island Red,278,2.55,2,22.0
2026-05-24,KIP-0003,Geel Pluimvee,51.16,4.99,Rhode Island Red,125,2.69,0,22.0
2026-05-24,KIP-0004,Lommel Hoeve,51.23,5.31,Leghorn,217,2.35,1,22.0
2026-05-24,KIP-0005,Lommel Hoeve,51.23,5.31,Leghorn,119,2.41,1,22.0
2026-05-24,KIP-0006,Lommel Hoeve,51.23,5.31,Rhode Island Red,136,2.44,2,22.0
2026-05-24,KIP-0007,Hasselt Kip,50.93,5.33,Sussex,102,2.47,0,22.0
2026-05-24,KIP-0008,Geel Pluimvee,51.16,4.99,Rhode Island Red,250,2.42,1,22.0
2026-05-24,KIP-0009,Lommel Hoeve,51.23,5.31,Rhode Island Red,267,2.38,2,22.0
2026-05-24,KIP-0010,Hasselt Kip,50.93,5.33,Rhode Island Red,251,2.65,2,22.0
2026-05-24,KIP-0011,Geel Pluimvee,51.16,4.99,Rhode Island Red,168,2.57,1,22.0
2026-05-24,KIP-0012,Hasselt Kip,50.93,5.33,Leghorn,134,2.38,2,22.0
2026-05-24,KIP-0013,Lommel Hoeve,51.23,5.31,Rhode Island Red,192,2.57,0,22.0
2026-05-24,KIP-0014,Lommel Hoeve,51.23,5.31,Sussex,129,2.42,1,22.0
2026-05-24,KIP-0015,Lommel Hoeve,51.23,5.31,Leghorn,182,2.56,0,22.0
2026-05-24,KIP-0016,Hasselt Kip,50.93,5.33,Sussex,141,2.92,0,22.0
2026-05-24,KIP-0017,Hasselt Kip,50.93,5.33,Sussex,139,2.85,2,22.0
2026-05-24,KIP-0018,Lommel Hoeve,51.23,5.31,Sussex,162,2.42,1,22.0
2026-05-24,KIP-0019,Hasselt Kip,50.93,5.33,Sussex,293,2.68,1,22.0
2026-05-24,KIP-0020,Lommel Hoeve,51.23,5.31,Leghorn,233,2.52,0,22.0
2026-05-24,KIP-0021,Lommel Hoeve,51.23,5.31,Leghorn,278,2.33,2,22.0
2026-05-24,KIP-0022,Geel Pluimvee,51.16,4.99,Sussex,254,2.42,1,22.0
2026-05-24,KIP-0023,Hasselt Kip,50.93,5.33,Sussex,196,2.69,0,22.0
2026-05-24,KIP-0024,Lommel Hoeve,51.23,5.31,Leghorn,295,2.64,1,22.0
2026-05-24,KIP-0025,Lommel Hoeve,51.23,5.31,Leghorn,222,2.42,1,22.0
2026-05-24,KIP-0026,Hasselt Kip,50.93,5.33,Leghorn,208,2.55,0,22.0
2026-05-24,KIP-0027,Geel Pluimvee,51.16,4.99,Rhode Island Red,283,3.13,1,22.0
